"# PDIoT walking data"
"# Start time: 20181109T154544"
"# Group: D"
"# Subject: walk, down, up, run"
"# Activity type: Walking (level ground)"
"# Sensor position: Wrist"
"# Side of body: Left"
"# Sensor mounting: Body"
"# Number of steps: 10"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1541778344821","0","0.98828125","0.42578125","-0.3017578","-27.0","11.75","82.375"
"1541778344822","1","0.90234375","0.28027344","-0.28125","-25.46875","0.96875","80.5625"
"1541778345020","2","0.83203125","0.328125","-0.25585938","-64.84375","-1.96875","72.90625"
"1541778345020","3","0.79296875","0.3798828","-0.27929688","-69.65625","0.28125","57.0625"
"1541778345020","4","0.8408203","0.46191406","-0.34570312","-39.8125","1.28125","31.25"
"1541778345022","5","0.9433594","0.4423828","-0.27929688","21.53125","-1.40625","0.46875"
"1541778345023","6","1.0546875","0.29785156","-0.2109375","43.75","-3.0625","-31.21875"
"1541778345024","7","1.2353516","0.21777344","-0.17773438","17.0625","5.40625","-57.8125"
"1541778345024","8","1.3847656","0.3046875","-0.22460938","-6.25","15.90625","-73.6875"
"1541778345024","9","1.3017578","0.34277344","-0.13867188","79.875","10.25","-152.0625"
"1541778345024","10","1.6738281","0.23046875","-0.14160156","123.53125","-6.84375","-181.71875"
"1541778345218","11","1.4775391","0.11425781","-0.03515625","118.21875","-25.21875","-198.3125"
"1541778345220","12","0.89453125","0.119140625","-0.10449219","52.0","-33.53125","-202.03125"
"1541778345222","13","0.77734375","0.12890625","-0.1796875","50.65625","-35.59375","-189.03125"
"1541778345222","14","0.63378906","0.10644531","-0.14746094","37.65625","-33.875","-159.5625"
"1541778345222","15","0.6699219","0.16113281","-0.123046875","22.6875","-21.3125","-123.25"
"1541778345222","16","0.7324219","0.16210938","-0.15625","16.09375","-10.6875","-78.4375"
"1541778345417","17","0.86621094","0.17871094","-0.16992188","2.0625","6.15625","-14.96875"
"1541778345418","18","0.9355469","0.13867188","-0.2265625","-15.625","25.4375","58.46875"
"1541778345419","19","1.3720703","0.19433594","-0.26953125","-53.90625","52.96875","152.21875"
"1541778345420","20","1.2089844","0.20996094","-0.28515625","-75.8125","39.0","209.46875"
"1541778345420","21","1.234375","0.26464844","-0.20898438","-108.09375","36.0","241.125"
"1541778345616","22","1.4003906","0.24804688","-0.26953125","-82.59375","27.5625","247.65625"
"1541778345616","23","1.4521484","0.25","-0.1953125","-50.78125","11.09375","236.6875"
"1541778345617","24","1.2060547","0.27539062","-0.21191406","-48.65625","6.28125","200.71875"
"1541778345814","25","1.046875","0.3154297","-0.20214844","-54.03125","2.71875","169.40625"
"1541778345814","26","0.91308594","0.23632812","-0.14941406","-70.9375","-1.1875","139.09375"
"1541778345815","27","0.85839844","0.2705078","-0.12109375","-108.84375","-1.0625","112.40625"
"1541778345818","28","0.75390625","0.31152344","-0.16992188","-110.375","-3.3125","101.125"
"1541778345819","29","1.0732422","0.43847656","-0.17675781","-113.0","-4.65625","109.125"
"1541778345819","30","1.3476562","0.6015625","-0.15039062","-95.0625","-10.40625","101.78125"
"1541778345819","31","1.1757812","0.67578125","-0.12988281","-60.0","-3.75","53.9375"
"1541778346014","32","1.7060547","0.6171875","-0.12207031","-13.4375","20.90625","-14.65625"
"1541778346014","33","1.3515625","0.36132812","-0.21777344","47.28125","16.21875","-89.1875"
"1541778346014","34","0.9873047","0.25878906","-0.13867188","71.21875","27.09375","-147.125"
"1541778346014","35","1.3085938","0.34472656","-0.111328125","96.90625","31.125","-172.75"
"1541778346015","36","1.4697266","0.4091797","-0.08203125","151.15625","15.84375","-182.6875"
"1541778346212","37","1.4697266","0.22363281","-0.06542969","159.90625","-6.90625","-197.78125"
"1541778346213","38","1.2783203","0.11816406","-0.068359375","162.46875","-27.1875","-210.78125"
"1541778346214","39","1.1259766","0.025390625","-0.07421875","133.96875","-46.84375","-210.46875"
"1541778346214","40","0.953125","0.036132812","-0.0703125","80.71875","-48.46875","-209.625"
"1541778346214","41","0.93652344","0.07519531","-0.10546875","34.03125","-42.125","-196.1875"
"1541778346414","42","0.98046875","0.12890625","-0.1015625","11.09375","-33.84375","-174.28125"
"1541778346415","43","1.078125","0.057617188","-0.09667969","11.09375","-22.59375","-124.53125"
"1541778346415","44","1.0166016","0.00390625","-0.14355469","10.3125","-18.25","-58.3125"
"1541778346610","45","0.88183594","0.04296875","-0.19433594","3.15625","-8.3125","-3.125"
"1541778346811","46","1.3417969","0.099609375","-0.27441406","0.78125","12.25","75.84375"
"1541778346812","47","0.9238281","0.08496094","-0.3095703","-36.5","26.46875","133.34375"
"1541778346812","48","1.1748047","0.17382812","-0.32617188","-74.78125","49.84375","173.5"
"1541778346812","49","1.2412109","0.19433594","-0.38378906","-50.78125","44.125","193.40625"
"1541778346812","50","1.2451172","0.17773438","-0.28808594","-29.625","23.4375","200.59375"
