"# PDIoT walking data"
"# Start time: 20181210T183150"
"# Group: D"
"# Subject: Holly"
"# Activity type: Running"
"# Sensor position: Wrist"
"# Side of body: Left"
"# Sensor mounting: Body"
"# Number of steps: 100"
"# Notes: Figure of 8"
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1544466710436","0","0.6591797","0.46289062","-0.2734375","16.65625","3.09375","-74.46875"
"1544466710436","1","0.6484375","0.33398438","-0.2890625","21.96875","3.65625","-21.8125"
"1544466710437","2","0.5966797","0.2109375","-0.2607422","-10.5625","7.0625","28.78125"
"1544466710437","3","0.60546875","0.3720703","-0.31835938","-30.71875","2.65625","68.65625"
"1544466710438","4","0.66308594","0.38671875","-0.30371094","-25.28125","-1.96875","115.65625"
"1544466710633","5","0.8808594","0.42871094","-0.31835938","-24.90625","-6.125","157.5625"
"1544466710634","6","0.9746094","0.5","-0.29296875","-29.9375","-22.46875","180.40625"
"1544466710635","7","1.1748047","0.5908203","-0.3251953","-22.84375","-29.96875","197.25"
"1544466710636","8","1.2167969","0.5732422","-0.27441406","-11.96875","-44.625","192.375"
"1544466710636","9","1.078125","0.5185547","-0.19238281","-31.03125","-47.9375","146.15625"
"1544466710833","10","0.953125","0.49316406","-0.21582031","-70.03125","-37.0625","76.28125"
"1544466710834","11","0.99316406","0.51660156","-0.20117188","-74.1875","-16.375","3.21875"
"1544466710834","12","1.2011719","0.5517578","-0.16503906","-59.21875","-3.0625","-43.28125"
"1544466710835","13","1.0722656","0.5214844","-0.1328125","-19.84375","-2.59375","-59.71875"
"1544466710835","14","0.8378906","0.42871094","-0.17773438","9.9375","1.375","-65.8125"
"1544466711230","15","0.8076172","0.3408203","-0.22949219","18.96875","2.65625","-61.96875"
"1544466711230","16","0.9140625","0.37109375","-0.1484375","7.90625","2.78125","-57.4375"
"1544466711231","17","1.03125","0.013671875","-0.10546875","-5.09375","4.5","-42.125"
"1544466711231","18","0.94433594","0.13476562","-0.16796875","-15.8125","6.8125","-25.65625"
"1544466711429","19","1.0634766","0.15917969","-0.1171875","22.5","22.4375","3.90625"
"1544466711429","20","0.8564453","0.18164062","-0.08886719","42.53125","21.34375","42.84375"
"1544466711628","21","0.7441406","0.21777344","-0.23144531","67.5","26.21875","72.875"
"1544466711827","22","0.6464844","0.1875","-0.29492188","45.875","28.1875","85.1875"
"1544466712026","23","1.1269531","0.3515625","-0.33007812","25.9375","57.34375","103.8125"
"1544466712027","24","1.5283203","0.6308594","-0.43164062","34.46875","29.65625","100.3125"
"1544466712029","25","1.6269531","0.79785156","-0.33496094","5.78125","0.65625","57.28125"
"1544466712029","26","1.2021484","0.95703125","-0.2841797","-95.78125","-33.46875","-26.25"
"1544466712030","27","0.65625","0.9160156","-0.24707031","-90.21875","-35.40625","-87.90625"
"1544466712030","28","-0.37402344","0.7714844","-0.17871094","-57.28125","-12.46875","-146.5"
"1544466712031","29","-0.65722656","0.94140625","-0.07324219","-33.875","24.8125","-177.3125"
"1544466712031","30","2.0","2.0","0.6826172","65.96875","175.34375","-332.03125"
"1544466712031","31","0.984375","-1.3798828","0.123046875","-10.9375","78.0","135.0"
"1544466712223","32","0.4189453","2.0","-0.19433594","-42.1875","-77.90625","54.6875"
"1544466712223","33","0.045898438","1.6621094","-0.20410156","-51.96875","-94.25","12.9375"
"1544466712223","34","-0.27734375","1.0048828","-0.28027344","-0.125","-64.21875","-22.59375"
"1544466712422","35","-0.7529297","0.40722656","-0.1171875","4.625","-36.34375","-58.5625"
"1544466712423","36","-1.0664062","0.20410156","-0.2265625","14.875","7.8125","-95.59375"
"1544466712424","37","-0.9267578","0.41210938","0.13574219","41.78125","37.21875","-140.9375"
"1544466712427","38","-0.77441406","0.96777344","0.3125","35.09375","76.40625","-195.9375"
"1544466712427","39","-0.42089844","2.0","0.93066406","98.96875","155.75","-223.09375"
"1544466712427","40","-0.15332031","2.0","0.6748047","-12.90625","135.46875","-328.3125"
"1544466712427","41","0.38867188","2.0","0.51660156","0.90625","163.25","-291.09375"
"1544466712621","42","0.7939453","1.8798828","0.16894531","-45.4375","186.09375","-233.59375"
"1544466712819","43","0.6171875","0.8564453","0.015625","-67.59375","158.3125","-155.78125"
"1544466712819","44","0.7714844","0.0703125","-0.0078125","-3.375","150.1875","-71.0625"
"1544466712820","45","0.70410156","-0.5888672","0.13378906","18.90625","101.71875","10.1875"
"1544466712820","46","0.7421875","-0.7265625","0.09667969","-47.1875","70.78125","117.90625"
"1544466712822","47","0.5986328","-0.021484375","-0.3017578","-96.5","33.125","197.5625"
"1544466712822","48","0.6455078","1.4970703","-0.20117188","-40.96875","11.65625","282.09375"
"1544466712822","49","0.82128906","2.0","-0.4638672","-145.53125","-27.53125","277.09375"
"1544466712824","50","0.26660156","2.0","-0.35058594","-25.53125","-86.75","164.71875"
"1544466712824","51","0.0","2.0","-0.203125","-9.71875","-74.0","69.375"
"1544466713019","52","-0.41015625","1.2363281","-0.16601562","-35.78125","-99.4375","27.4375"
"1544466713019","53","-0.70214844","0.68652344","-0.18554688","16.21875","-77.90625","-6.53125"
"1544466713020","54","-0.93359375","0.10839844","-0.17089844","15.5","-33.34375","-46.34375"
"1544466713020","55","-0.8183594","0.001953125","-0.08105469","3.21875","6.875","-85.15625"
"1544466713020","56","-0.6230469","0.13867188","0.10449219","1.4375","46.6875","-106.65625"
"1544466713219","57","-0.703125","0.7919922","0.32617188","2.0625","108.8125","-120.5625"
"1544466713220","58","-0.8691406","2.0","0.70996094","-25.53125","132.6875","-125.625"
"1544466713220","59","-0.5517578","2.0","0.64160156","-2.40625","144.875","-227.25"
"1544466713220","60","-0.13574219","2.0","0.40625","3.34375","156.0625","-246.84375"
"1544466713416","61","0.38085938","1.5439453","0.053710938","-51.28125","153.3125","-206.5625"
"1544466713416","62","0.43164062","0.86816406","-0.0087890625","-49.75","137.5","-159.625"
"1544466713417","63","0.48828125","0.21679688","0.041015625","0.53125","130.28125","-99.375"
"1544466713417","64","0.54003906","-0.12207031","0.07421875","-33.34375","108.5","-43.78125"
"1544466713418","65","0.5283203","-0.21972656","0.028320312","-38.59375","88.59375","17.1875"
"1544466713616","66","0.44335938","-0.07421875","-0.16015625","-66.0625","67.90625","75.71875"
"1544466713617","67","0.1328125","0.9921875","-0.40625","-61.96875","8.40625","148.53125"
"1544466713617","68","0.083984375","1.6728516","-0.34960938","-18.15625","12.6875","238.3125"
"1544466713617","69","-0.016601562","2.0","-0.6357422","-38.53125","-43.59375","194.6875"
"1544466713617","70","-0.27246094","2.0","-0.4091797","53.9375","-55.5625","140.5"
"1544466713814","71","-0.3935547","1.734375","-0.22167969","10.40625","-84.5625","87.09375"
"1544466713814","72","-0.46679688","1.0634766","-0.21484375","23.46875","-91.3125","54.84375"
"1544466713815","73","-0.46777344","0.515625","-0.11425781","26.71875","-75.40625","33.5625"
"1544466713815","74","-0.49804688","0.21875","-0.2705078","38.5","-36.875","15.1875"
"1544466713815","75","-0.6660156","0.12402344","-0.29296875","27.375","1.4375","-20.28125"
"1544466714012","76","-0.8222656","-0.017578125","0.0859375","35.03125","58.75","-63.5625"
"1544466714013","77","-0.90625","0.32421875","0.18457031","-19.3125","117.53125","-81.25"
"1544466714013","78","-0.9765625","1.9560547","0.45996094","-34.3125","113.5625","-100.1875"
"1544466714013","79","-0.8378906","2.0","0.6328125","3.34375","151.46875","-184.71875"
"1544466714014","80","-0.5673828","2.0","0.2265625","-94.1875","154.84375","-217.3125"
"1544466714211","81","0.13476562","2.0","-0.09375","-40.40625","164.40625","-239.15625"
"1544466714211","82","0.40722656","1.2363281","-0.12988281","-80.46875","111.25","-192.09375"
"1544466714212","83","0.3232422","0.69628906","-0.078125","-51.65625","102.28125","-144.0"
"1544466714409","84","0.4814453","0.34960938","-0.05859375","-42.625","98.3125","-94.4375"
"1544466714411","85","0.65234375","0.13476562","-0.06542969","-13.9375","82.625","-38.15625"
"1544466714411","86","0.6464844","-0.061523438","-0.044921875","-29.25","52.0","6.46875"
"1544466714411","87","0.33984375","0.43652344","-0.24902344","-78.8125","6.9375","83.90625"
"1544466714412","88","0.23242188","0.94628906","-0.24707031","-68.8125","-6.125","200.84375"
"1544466714412","89","0.00390625","2.0","-0.54296875","-79.71875","-35.34375","229.53125"
"1544466714413","90","-0.47265625","2.0","-0.39257812","-33.40625","-64.40625","212.21875"
"1544466714608","91","-0.47460938","2.0","-0.32421875","-5.4375","-72.46875","140.625"
"1544466714609","92","-0.58203125","1.0820312","-0.24902344","20.25","-87.59375","104.21875"
"1544466714609","93","-0.79296875","0.58496094","-0.15625","8.21875","-81.75","59.5625"
"1544466714807","94","-0.87890625","0.22851562","-0.029296875","-8.25","-35.59375","19.40625"
"1544466714807","95","-0.921875","0.020507812","-0.024414062","-6.53125","29.21875","-30.71875"
"1544466714808","96","-0.7578125","0.076171875","0.15039062","5.78125","87.3125","-85.28125"
"1544466714808","97","-0.87890625","0.7998047","0.37695312","-60.125","116.5625","-109.75"
"1544466714810","98","-1.2685547","2.0","0.7841797","-17.28125","152.28125","-157.71875"
"1544466714811","99","-0.7910156","2.0","0.7597656","-10.28125","170.28125","-255.5625"
"1544466714811","100","-0.31640625","2.0","0.4921875","-20.59375","169.90625","-256.4375"
"1544466715007","101","0.25585938","1.3378906","0.35351562","-14.0","181.625","-223.84375"
"1544466715206","102","0.5185547","0.81152344","0.2607422","-71.375","149.03125","-176.03125"
"1544466715207","103","0.7675781","0.3955078","0.26464844","-23.34375","145.375","-106.78125"
"1544466715207","104","0.9921875","-0.045898438","0.23730469","-41.9375","119.1875","-34.8125"
"1544466715207","105","0.89453125","-0.14746094","0.06542969","-81.625","83.96875","48.4375"
"1544466715209","106","0.5673828","0.11035156","-0.32226562","-79.90625","30.0625","149.34375"
"1544466715209","107","0.23730469","1.1259766","-0.017578125","-117.4375","-15.21875","260.59375"
"1544466715209","108","0.1328125","2.0","-0.40429688","-163.90625","-73.25","279.40625"
"1544466715211","109","-0.34472656","2.0","-0.18164062","-34.5","-132.03125","220.3125"
"1544466715211","110","-0.3310547","2.0","-0.041992188","47.40625","-107.3125","117.0625"
"1544466715404","111","-0.61035156","1.2607422","-0.07128906","16.9375","-104.3125","60.28125"
"1544466715405","112","-0.75683594","0.546875","0.025390625","25.4375","-74.71875","24.28125"
"1544466715405","113","-1.1025391","0.080078125","0.0625","-0.6875","-11.0625","-21.9375"
"1544466715405","114","-0.99316406","-0.053710938","0.07714844","-1.125","56.1875","-67.71875"
"1544466715405","115","-0.8251953","-0.034179688","0.2763672","-1.53125","111.625","-108.59375"
"1544466715604","116","-0.84375","0.5683594","0.40429688","-61.125","151.71875","-131.65625"
"1544466715604","117","-1.1787109","2.0","0.8642578","-20.46875","185.90625","-156.21875"
"1544466715604","118","-0.9560547","2.0","0.94433594","-14.59375","210.9375","-257.875"
"1544466715605","119","-0.64941406","2.0","0.64746094","-37.5","195.0625","-275.84375"
"1544466715605","120","-0.013671875","2.0","0.3232422","28.0","158.625","-229.375"
"1544466715800","121","0.7441406","0.7705078","0.2861328","-39.8125","125.09375","-175.90625"
"1544466715800","122","0.41796875","0.26367188","0.10546875","-92.3125","90.8125","-112.6875"
"1544466715801","123","0.6113281","-0.07324219","0.20410156","-58.5","101.84375","-35.15625"
"1544466715802","124","0.6113281","-0.25585938","0.123046875","-86.5625","92.5","57.71875"
"1544466715803","125","0.5625","-0.19140625","-0.09765625","-128.5625","81.03125","135.3125"
"1544466716001","126","0.34765625","0.6123047","-0.0625","-115.3125","44.25","251.21875"
"1544466716200","127","0.40527344","1.8955078","-0.24609375","-126.0","24.65625","339.53125"
"1544466716397","128","0.16113281","2.0","-0.19824219","-80.40625","-37.625","247.71875"
"1544466716397","129","-0.23242188","2.0","0.015625","-18.875","-43.90625","148.59375"
"1544466716397","130","-0.3173828","1.7714844","-0.12988281","-68.0","-36.40625","65.78125"
"1544466716399","131","-0.54296875","1.0048828","-0.21582031","5.34375","-39.75","26.09375"
"1544466716399","132","-0.8984375","0.49023438","-0.123046875","11.34375","-12.59375","0.96875"
"1544466716400","133","-1.0761719","0.22851562","-0.27148438","-1.3125","59.4375","-26.4375"
"1544466716400","134","-1.0507812","0.032226562","0.041992188","78.96875","147.4375","-76.3125"
"1544466716401","135","-0.8496094","-0.13476562","0.51464844","56.0","225.875","-78.09375"
"1544466716402","136","-1.3154297","1.0615234","1.3759766","20.4375","240.9375","-50.1875"
"1544466716596","137","0.8105469","0.8515625","0.38867188","-95.53125","174.46875","-196.78125"
"1544466716597","138","1.0126953","0.3720703","0.12207031","-95.28125","150.9375","-99.375"
"1544466716597","139","0.9970703","-0.19921875","-0.032226562","-119.28125","136.15625","-39.625"
"1544466716597","140","0.7919922","-0.36816406","-0.27246094","-133.9375","122.59375","53.875"
"1544466716597","141","0.40722656","-0.01171875","-0.59765625","-96.875","83.3125","159.71875"
"1544466716794","142","0.4267578","0.81640625","-0.06933594","-87.46875","36.59375","300.21875"
"1544466716795","143","0.3251953","2.0","-0.36035156","-82.28125","-6.1875","341.90625"
"1544466716795","144","0.057617188","2.0","0.016601562","26.84375","-44.5625","295.5625"
"1544466716797","145","-0.16503906","2.0","-0.08984375","3.46875","-51.59375","175.59375"
"1544466716797","146","-0.40429688","1.7167969","-0.18066406","-35.84375","-78.8125","102.03125"
"1544466716993","147","-0.6464844","0.8076172","-0.37597656","-5.5625","-86.625","51.125"
"1544466716993","148","-0.9560547","0.20703125","-0.09375","13.78125","-72.46875","4.1875"
"1544466716996","149","-1.0957031","-0.20996094","0.03515625","-2.6875","-4.78125","-42.96875"
"1544466716996","150","-0.9501953","0.048828125","-0.14941406","7.90625","52.34375","-96.21875"
"1544466716996","151","-0.87109375","0.46679688","0.25683594","23.78125","93.625","-154.0625"
"1544466717193","152","-1.0810547","2.0","0.37695312","-19.125","105.5","-186.125"
"1544466717392","153","-0.70703125","2.0","0.3515625","44.71875","116.4375","-291.40625"
"1544466717393","154","-0.35253906","2.0","0.16992188","62.4375","104.21875","-294.28125"
"1544466717393","155","0.0234375","2.0","0.051757812","56.1875","104.0","-266.5"
"1544466717394","156","0.30371094","0.9873047","0.0087890625","-8.1875","84.6875","-183.96875"
"1544466717394","157","0.34472656","0.4765625","0.040039062","15.5","95.8125","-107.8125"
"1544466717394","158","0.4560547","-0.045898438","0.24414062","14.3125","85.125","-33.21875"
"1544466717394","159","0.58984375","-0.15332031","0.33691406","-43.96875","66.40625","67.84375"
"1544466717395","160","0.76171875","-0.0078125","0.23046875","-115.25","49.375","137.9375"
"1544466717788","161","0.57128906","0.4482422","-0.123046875","-111.59375","15.65625","193.28125"
"1544466717789","162","0.45117188","1.1171875","-0.17675781","-75.21875","-6.1875","276.78125"
"1544466717789","163","0.4873047","2.0","-0.43847656","-175.1875","-79.1875","270.5625"
"1544466717791","164","0.016601562","2.0","-0.6738281","-113.28125","-150.59375","197.4375"
