"# PDIoT walking data"
"# Start time: 20181210T182556"
"# Group: D"
"# Subject: Holly"
"# Activity type: Walking (level ground)"
"# Sensor position: Wrist"
"# Side of body: Left"
"# Sensor mounting: Body"
"# Number of steps: 100"
"# Notes: Figure of 8"
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1544466356859","0","0.9160156","0.43554688","-0.30078125","36.125","26.28125","-4.34375"
"1544466356860","1","0.9140625","0.41308594","-0.3857422","53.4375","23.1875","-4.90625"
"1544466356860","2","0.93359375","0.36621094","-0.37597656","49.0","15.0625","-4.84375"
"1544466356861","3","0.92871094","0.33398438","-0.27441406","20.5","3.21875","-2.46875"
"1544466356861","4","0.91015625","0.35058594","-0.23339844","-0.3125","-5.4375","2.375"
"1544466357059","5","0.8925781","0.37109375","-0.21484375","-12.28125","-9.71875","4.875"
"1544466357060","6","0.89746094","0.39648438","-0.22167969","-21.0","-10.28125","6.8125"
"1544466357060","7","0.8955078","0.41015625","-0.21191406","-23.28125","-9.65625","7.90625"
"1544466357061","8","0.890625","0.43066406","-0.20996094","-20.15625","-8.0625","10.1875"
"1544466357061","9","0.8730469","0.4501953","-0.19628906","-8.25","-4.21875","12.5"
"1544466357256","10","0.90722656","0.45214844","-0.21582031","5.0","-2.28125","13.71875"
"1544466357257","11","0.8779297","0.421875","-0.19628906","3.9375","-4.46875","12.25"
"1544466357259","12","0.89746094","0.4375","-0.22070312","-0.4375","-5.25","9.125"
"1544466357260","13","0.9013672","0.4345703","-0.20410156","-0.8125","-6.1875","4.6875"
"1544466357261","14","0.9111328","0.42578125","-0.203125","-3.25","-6.5","1.375"
"1544466357455","15","0.9199219","0.43554688","-0.21484375","-1.84375","-7.40625","-1.71875"
"1544466357455","16","0.9033203","0.41015625","-0.21386719","-1.0625","-8.25","-3.6875"
"1544466357655","17","0.8925781","0.40527344","-0.22949219","0.03125","-6.1875","-2.6875"
"1544466357657","18","0.9033203","0.41503906","-0.21875","3.28125","-4.71875","-0.3125"
"1544466357657","19","0.91503906","0.43652344","-0.2578125","11.875","-2.59375","1.625"
"1544466357658","20","0.88183594","0.39160156","-0.24316406","19.9375","-0.125","-4.15625"
"1544466357658","21","0.91015625","0.38867188","-0.25976562","16.53125","1.5","-7.28125"
"1544466357659","22","0.89160156","0.37304688","-0.27246094","15.65625","-0.1875","-11.71875"
"1544466357659","23","0.890625","0.3701172","-0.29296875","9.75","-1.90625","-13.375"
"1544466357661","24","0.8613281","0.3623047","-0.3095703","9.09375","-3.90625","-9.84375"
"1544466357854","25","0.91015625","0.39941406","-0.3046875","17.5625","-1.53125","-2.59375"
"1544466357854","26","0.83203125","0.38378906","-0.3203125","26.21875","-3.4375","3.21875"
"1544466357855","27","0.87109375","0.3857422","-0.29882812","31.0","4.0","7.5"
"1544466357855","28","0.92089844","0.40722656","-0.31445312","30.8125","3.78125","10.0625"
"1544466357855","29","0.9296875","0.3671875","-0.31640625","30.125","2.84375","8.71875"
"1544466358053","30","0.8486328","0.34765625","-0.3359375","5.46875","-2.8125","9.125"
"1544466358053","31","0.7480469","0.35742188","-0.3564453","-11.90625","-6.78125","12.5"
